"index","team","id","link","espn_abbrv"
"1","Abil Christian",2000,"abilene-christian-wildcats","ACU"
"2","Air Force",2005,"air-force-falcons","AFA"
"3","Akron",2006,"akron-zips","AKR"
"4","Alabama",333,"alabama-crimson-tide","ALA"
"5","Alabama A&M",2010,"alabama-am-bulldogs","AAMU"
"6","Alabama State",2011,"alabama-state-hornets","ALST"
"7","Albany",399,"albany-great-danes","ALB"
"8","Alcorn State",2016,"alcorn-state-braves","ALCN"
"9","American",44,"american-eagles","AMER"
"10","Appalachian St",2026,"appalachian-state-mountaineers","APP"
"11","AR-Pine Bluff",2029,"arkansas-pine-bluff-golden-lions","UAPB"
"12","Arizona",12,"arizona-wildcats","ARIZ"
"13","Arizona State",9,"arizona-state-sun-devils","ASU"
"14","Arkansas",8,"arkansas-razorbacks","ARK"
"15","Arkansas State",2032,"arkansas-state-red-wolves","ARST"
"16","Army",349,"army-black-knights","ARMY"
"17","Auburn",2,"auburn-tigers","AUB"
"18","Austin Peay",2046,"austin-peay-governors","APSU"
"19","Ball State",2050,"ball-state-cardinals","BALL"
"20","Baylor",239,"baylor-bears","BAY"
"21","Bellarmine",91,"bellarmine-knights","BELL"
"22","Belmont",2057,"belmont-bruins","BEL"
"23","Bethune-Cookman",2065,"bethune-cookman-wildcats","BCU"
"24","Binghamton",2066,"binghamton-bearcats","BING"
"25","Boise State",68,"boise-state-broncos","BSU"
"26","Boston College",103,"boston-college-eagles","BC"
"27","Boston U",104,"boston-university-terriers","BU"
"28","Bowling Green",189,"bowling-green-falcons","BGSU"
"29","Bradley",71,"bradley-braves","BRAD"
"30","Brown",225,"brown-bears","BRWN"
"31","Bryant",2803,"bryant-bulldogs","BRY"
"32","Bucknell",2083,"bucknell-bison","BUCK"
"33","Buffalo",2084,"buffalo-bulls","BUFF"
"34","Butler",2086,"butler-bulldogs","BUT"
"35","BYU",252,"byu-cougars","BYU"
"36","C. Carolina",324,"coastal-carolina-chanticleers","CCU"
"37","Cal",25,"california-golden-bears","CAL"
"38","Cal Baptist",2856,"california-baptist-lancers","CBU"
"39","Cal Poly",13,"cal-poly-mustangs","CP"
"40","Campbell",2097,"campbell-fighting-camels","CAMP"
"41","Canisius",2099,"canisius-golden-griffins","CAN"
"42","Cent Arkansas",2110,"central-arkansas-bears","CARK"
"43","Cent Conn St",2115,"central-connecticut-blue-devils","CCSU"
"44","Cent Michigan",2117,"central-michigan-chippewas","CMU"
"45","Charleston",232,"charleston-cougars","COFC"
"46","Charleston So",2127,"charleston-southern-buccaneers","CHSO"
"47","Charlotte",2429,"charlotte-49ers","CHAR"
"48","Chattanooga",236,"chattanooga-mocs","UTC"
"49","Chicago State",2130,"chicago-state-cougars","CHST"
"50","Cincinnati",2132,"cincinnati-bearcats","CIN"
"51","Clemson",228,"clemson-tigers","CLEM"
"52","Cleveland State",325,"cleveland-state-vikings","CLEV"
"53","Colgate",2142,"colgate-raiders","COLG"
"54","Colorado",38,"colorado-buffaloes","COLO"
"55","Colorado State",36,"colorado-state-rams","CSU"
"56","Columbia",171,"columbia-lions","COLU"
"57","Coppin State",2154,"coppin-state-eagles","COPP"
"58","Cornell",172,"cornell-big-red","CORN"
"59","Creighton",156,"creighton-bluejays","CREI"
